Video,Total Frames,Working Frames,Productivity %,Peak Exertion (px),Detected Task,AI_Trade,AI_Tasks,AI_Output,AI_UES,AI_Summary
01_production_masonry,6380,6229,97.6,68.07,Handling Hardhat,Construction Worker,"['Laying bricks, Operating machinery, Material handling']","10 blocks laid, 2 pipes cut",85.0,The worker demonstrates a high level of physical exertion and efficiency in the construction process.
02_production_masonry,6380,6377,100.0,72.25,Handling Hardhat,Construction Worker,"['Building construction site, handling materials, operating machinery']",100% of the video,72.25,"The worker appears to be diligent and focused on the task at hand, demonstrating a high level of physical exertion while constructing the site."
03_production_masonry,6380,5974,93.6,83.84,Handling Hardhat,Construction Worker,"['Laying bricks, Operating construction equipment']","10 bricks laid, 2 pieces of equipment operated",95.0,"The worker demonstrates a high level of productivity and physical exertion in the construction process, efficiently laying bricks and operating machinery to support the building's structure."
04_production_masonry,6380,6361,99.7,80.45,Handling Hardhat,Construction Worker,"['Building scaffolding, operating crane, handling construction materials']","10 joints welded, 2 pipes cut",95.0,"The worker demonstrates high physical exertion and efficiency in constructing the scaffolding and operating the crane, contributing to the progress of the building project."
05_production_mp,6060,5841,96.4,61.71,Handling Hardhat,Plumber,"['Fixing pipes, Cutting materials']","10 joints welded, 2 pipes cut",96.4,The plumber demonstrates high physical exertion and efficiency in completing the tasks at hand.
06_production_mp,6060,5508,90.9,66.86,Handling Hardhat,Plumber,"Installing pipes, working with tools, handling materials","10 joints installed, 2 pipes cut",85.0,"The plumber demonstrates a high level of skill and efficiency in their work, with attention to detail and proper technique."
07_production_mp,6000,5837,97.3,72.65,Handling Hardhat,Construction Worker,"Inspecting, repairing or installing pipes in a construction site","10 joints welded, 2 pipes cut",85.0,"The worker is diligent and efficient in performing the tasks at hand, ensuring that the construction site remains safe and functional."
08_prep_production_mp,6000,5548,92.5,53.47,Handling Hardhat,Construction Worker,"['Inspecting pipes, Cutting metal, Welding joints']","10 joints welded, 2 pipes cut",95.0,"The worker demonstrates a high level of skill and efficiency in their work, ensuring the quality of the construction project."
09_prep_standby_production_mp,6060,5632,92.9,57.09,Handling Hardhat,Plumber,"['Tightening pipes, Welding joints']",5 joints welded,92.9,The plumber is demonstrating a high level of physical exertion and attention to detail while performing the tasks at hand.
10_production_mp,6000,5816,96.9,62.29,Handling Hardhat,Construction Worker,"['Welding, Cutting, Drilling']","10 joints welded, 2 pipes cut",96.9,The construction worker demonstrates high physical exertion and efficiency in completing the tasks.
11_prep_masonry,6380,6378,100.0,77.08,Handling Hardhat,Construction Worker,"['Lifting heavy materials, operating machinery, working with tools']",100% of the video,7.08,"The worker appears to be focused and efficient in handling construction tasks, demonstrating a good work ethic and technique."
12_downtime_prep_mp,6060,4590,75.7,42.56,Handling Hardhat,Construction Worker,"Inspecting, repairing, or installing construction materials","10 pieces of lumber installed, 2 wall studs secured",85.0,Demonstrates attention to detail and efficient use of tools
13_transit_prep_mp,6060,4460,73.6,58.93,Handling Hardhat,Construction Worker,"['Handling construction materials, working with tools']",10 pieces of lumber cut and secured,85.0,Demonstrates focus and precision in handling materials and tools.
14_production_mp,6000,5837,97.3,72.65,Handling Hardhat,Construction Worker,"['Inspecting construction site, checking for safety hazards, ensuring proper installation of materials']","10 joints inspected, 2 pipes installed",85.0,"The worker appears to be diligent and focused on the task at hand, ensuring safety and quality in the construction process."
